  0.37200000E+02  0.15863144E-22  0.44424390E-38
  0.37300000E+02  0.15779741E-22  0.45780760E-38
  0.37400000E+02  0.15696991E-22  0.43555871E-38
  0.37500000E+02  0.15614886E-22  0.45700415E-38
  0.37600000E+02  0.15533420E-22  0.43798920E-38
  0.37700000E+02  0.15452587E-22  0.43195774E-38
  0.37800000E+02  0.15372379E-22  0.44259699E-38
  0.37900000E+02  0.15292790E-22  0.44385232E-38
  0.38000000E+02  0.15213815E-22  0.43313113E-38
  0.38100000E+02  0.15135446E-22  0.43633228E-38
  0.38200000E+02  0.15057678E-22  0.43949058E-38
  0.38300000E+02  0.14980505E-22  0.43788094E-38
  0.38400000E+02  0.14903920E-22  0.40891998E-38
  0.38500000E+02  0.14827917E-22  0.40198744E-38
  0.38600000E+02  0.14752491E-22  0.39264214E-38
  0.38700000E+02  0.14677637E-22  0.41843860E-38
  0.38800000E+02  0.14603347E-22  0.39224701E-38
  0.38900000E+02  0.14529617E-22  0.39593560E-38
  0.39000000E+02  0.14456441E-22  0.39774750E-38
  0.39100000E+02  0.14383813E-22  0.42982659E-38
  0.39200000E+02  0.14311729E-22  0.40289379E-38
  0.39300000E+02  0.14240182E-22  0.38630146E-38
  0.39400000E+02  0.14169168E-22  0.37597048E-38
  0.39500000E+02  0.14098680E-22  0.41817020E-38
  0.39600000E+02  0.14028715E-22  0.41966887E-38
  0.39700000E+02  0.13959266E-22  0.39914253E-38
  0.39800000E+02  0.13890330E-22  0.42058136E-38
  0.39900000E+02  0.13821900E-22  0.40252997E-38
  0.40000000E+02  0.13753971E-22  0.41002134E-38
